opposite sign                            	nevts: 771/447/664/585/2467
1	7126	2137354
1	7126	2137355
1	7126	2137358
1	7126	2137362
1	7126	2137391
1	7126	2137394
1	7126	2137395
1	12268	3679402
1	12268	3679406
1	12268	3679417
1	12268	3679428
1	12268	3679432
1	12268	3679438
1	12268	3679496
1	12268	3679501
1	12268	3679517
1	12268	3679520
1	12268	3679522
1	12268	3679524
1	12268	3679545
1	12268	3679547
1	12268	3679552
1	12268	3679568
1	12268	3679577
1	12268	3679581
1	12268	3679613
1	12268	3679621
1	12268	3679627
1	12268	3679632
1	12268	3679657
1	12268	3679676
1	12268	3679684
1	12268	3679688
1	12268	3679696
1	12268	3679697
1	13158	3946413
1	13158	3946417
1	13158	3946418
1	13158	3946422
1	13158	3946429
1	13158	3946442
1	13158	3946447
1	13158	3946448
1	13158	3946452
1	13158	3946470
1	13158	3946473
1	13158	3946482
1	13158	3946485
1	13158	3946487
1	13158	3946503
1	13158	3946508
1	13158	3946523
1	13158	3946529
1	13158	3946535
1	13158	3946539
1	13158	3946549
1	13158	3946557
1	13158	3946560
1	13158	3946569
1	13158	3946583
1	13158	3946587
1	13158	3946603
1	13158	3946607
1	13158	3946609
1	13158	3946632
1	13158	3946644
1	13158	3946653
1	13158	3946661
1	13158	3946674
1	13158	3946682
1	13158	3946685
1	13158	3946689
1	13158	3946698
1	13524	4056116
1	13524	4056123
1	13524	4056137
1	13524	4056139
1	13524	4056140
1	13524	4056155
1	13524	4056169
1	13524	4056194
1	13524	4056200
1	13524	4056206
1	13524	4056207
1	13524	4056218
1	13524	4056219
1	13524	4056231
1	13524	4056232
1	13524	4056240
1	13524	4056246
1	13524	4056268
1	13524	4056274
1	13524	4056281
1	13524	4056282
1	13524	4056290
1	13524	4056293
1	13524	4056295
1	13524	4056307
1	13524	4056312
1	13524	4056322
1	13524	4056327
1	13524	4056331
1	13524	4056335
1	13524	4056343
1	13524	4056345
1	13524	4056347
1	13524	4056348
1	13524	4056360
1	13524	4056371
1	13524	4056378
1	13524	4056398
1	13641	4091208
1	13641	4091210
1	13641	4091216
1	13641	4091220
1	13641	4091223
1	13641	4091234
1	13641	4091237
1	13641	4091251
1	13641	4091254
1	13641	4091255
1	13641	4091262
1	13641	4091276
1	13641	4091277
1	13641	4091281
1	13641	4091282
1	13641	4091283
1	13641	4091298
1	13641	4091299
1	13641	4091300
1	13641	4091303
1	13641	4091307
1	13641	4091309
1	13641	4091317
1	13641	4091345
1	13641	4091347
1	13641	4091348
1	13641	4091358
1	13641	4091384
1	13641	4091385
1	13641	4091397
1	13641	4091413
1	13641	4091428
1	13641	4091435
1	13641	4091440
1	13641	4091446
1	13641	4091480
1	13641	4091482
1	13641	4091500
1	13735	4119407
1	13735	4119417
1	13735	4119425
1	13735	4119446
1	13735	4119447
1	13735	4119453
1	13735	4119461
1	13735	4119470
1	13735	4119485
1	13735	4119487
1	13735	4119497
1	13735	4119520
1	13735	4119524
1	13735	4119525
1	13735	4119528
1	13735	4119535
1	13735	4119538
1	13735	4119539
1	13735	4119548
1	13735	4119583
1	13735	4119584
1	13735	4119587
1	13735	4119598
1	13735	4119608
1	13735	4119609
1	13735	4119625
1	13735	4119640
1	13735	4119645
1	13735	4119647
1	13735	4119667
1	13735	4119674
1	13735	4119694
1	13966	4188733
1	13966	4188734
1	13966	4188740
1	13966	4188745
1	13966	4188757
1	13966	4188760
1	13966	4188764
1	13966	4188790
1	13966	4188792
1	13966	4188800
1	13966	4188802
1	13966	4188817
1	13966	4188818
1	13966	4188819
1	13966	4188823
1	13966	4188828
1	13966	4188847
1	13966	4188859
1	13966	4188902
1	13966	4188921
1	13966	4188923
1	13966	4188936
1	13966	4188939
1	13966	4188945
1	13966	4188946
1	13966	4188952
1	13966	4188970
1	13966	4188971
1	13966	4188976
1	13966	4188994
1	13966	4188997
1	13966	4188998
1	14013	4202813
1	14013	4202835
1	14013	4202854
1	14013	4202855
1	14013	4202860
1	14013	4202864
1	14013	4202877
1	14013	4202881
1	14013	4202893
1	14013	4202894
1	14013	4202912
1	14013	4202915
1	14013	4202928
1	14013	4202940
1	14013	4202945
1	14013	4202976
1	14013	4202984
1	14013	4202991
1	14013	4202996
1	14013	4202997
1	14013	4203001
1	14013	4203018
1	14013	4203021
1	14013	4203027
1	14013	4203040
1	14013	4203043
1	14013	4203061
1	14013	4203068
1	14013	4203075
1	14013	4203085
1	14013	4203099
1	7753	2325207
1	7753	2325208
1	7753	2325212
1	7753	2325223
1	7753	2325226
